name,count,uniques
api,11,5
cypress-es-modules-chai-assert,305,191
cypress-es-modules-chai-expect,304,192
cypress-es-modules-chai-should,307,189
cypress-es-modules-cucumber-chai-assert,315,193
cypress-es-modules-cucumber-chai-expect,306,203
cypress-es-modules-cucumber-chai-should,309,208
cypress-es-modules-cucumber-jest-expect,306,197
cypress-es-modules-jest-expect,309,198
cypress-typescript-browserify-chai-assert,317,196
cypress-typescript-browserify-chai-expect,313,189
cypress-typescript-browserify-chai-should,309,200
cypress-typescript-browserify-jest-expect,329,217
cypress-typescript-chai-assert,310,199
cypress-typescript-chai-expect,310,204
cypress-typescript-chai-should,319,202
cypress-typescript-cucumber-chai-assert,315,203
cypress-typescript-cucumber-chai-expect,319,209
cypress-typescript-cucumber-chai-should,329,212
cypress-typescript-jest-expect,321,196
cypress-typescript-webpack-chai-assert,337,202
cypress-typescript-webpack-chai-expect,328,193
cypress-typescript-webpack-chai-should,331,208
cypress-typescript-webpack-jest-expect,340,202
docs,14,7
e2e-boilerplate,8,2
nightwatch-commonjs-assert,286,188
nightwatch-commonjs-expect,295,200
nightwatch-es-modules-babel-assert,312,186
nightwatch-es-modules-babel-expect,310,198
nightwatch-typescript-tsc-assert,293,208
nightwatch-typescript-tsc-expect,293,198
picker,367,213
playwright-commonjs-cucumber-assert,368,217
playwright-commonjs-cucumber-chai-assert,376,229
playwright-commonjs-cucumber-chai-expect,379,223
playwright-commonjs-cucumber-chai-should,367,232
playwright-commonjs-cucumber-expect,380,231
playwright-commonjs-jasmine-assert,364,212
playwright-commonjs-jasmine-expect,374,212
playwright-commonjs-jest-assert,386,226
playwright-commonjs-jest-expect,379,229
playwright-commonjs-mocha-assert,366,214
playwright-commonjs-mocha-chai-assert,379,233
playwright-commonjs-mocha-chai-expect,383,226
playwright-commonjs-mocha-chai-should,386,221
playwright-es-modules-babel-ava,388,220
playwright-es-modules-babel-jest-assert,391,216
playwright-es-modules-babel-jest-expect,386,222
playwright-es-modules-esm-mocha-assert,375,234
playwright-es-modules-esm-mocha-chai-assert,370,218
playwright-es-modules-esm-mocha-chai-expect,380,229
playwright-es-modules-esm-mocha-chai-should,377,228
playwright-typescript-ts-jest-jest-assert,403,230
playwright-typescript-ts-jest-jest-expect,407,228
playwright-typescript-ts-node-jasmine-assert,382,219
playwright-typescript-ts-node-jasmine-expect,371,224
protractor-commonjs-jasmine-assert,289,189
protractor-commonjs-jasmine-expect,292,190
protractor-commonjs-mocha-assert,309,203
protractor-commonjs-mocha-chai-assert,301,191
protractor-commonjs-mocha-chai-expect,300,201
protractor-commonjs-mocha-chai-should,297,188
protractor-es-modules-babel-jasmine-assert,306,196
protractor-es-modules-babel-mocha-assert,309,194
protractor-es-modules-babel-mocha-chai-expect,312,208
protractor-es-modules-esm-mocha-chai-should,296,196
protractor-typescript-ts-node-jasmine-assert,291,191
