name,count,uniques
api,9,2
cypress-es-modules-chai-assert,5,4
cypress-es-modules-cucumber-chai-assert,5,1
cypress-es-modules-jest-expect,8,2
cypress-typescript-browserify-chai-assert,3,1
cypress-typescript-browserify-chai-expect,19,2
cypress-typescript-browserify-jest-expect,2,2
cypress-typescript-chai-expect,36,1
cypress-typescript-chai-should,2,1
cypress-typescript-cucumber-chai-expect,9,1
cypress-typescript-jest-expect,27,3
cypress-typescript-webpack-jest-expect,12,2
docs,167,59
nightwatch-commonjs-expect,3,1
nightwatch-typescript-tsc-expect,9,2
picker,15,1
playwright-commonjs-cucumber-assert,43,6
playwright-commonjs-cucumber-chai-assert,24,2
playwright-commonjs-cucumber-chai-expect,53,5
playwright-commonjs-cucumber-chai-should,6,1
playwright-commonjs-cucumber-expect,29,4
playwright-commonjs-jasmine-expect,121,14
playwright-commonjs-jest-assert,34,4
playwright-commonjs-jest-expect,56,11
playwright-commonjs-mocha-chai-assert,3,1
playwright-commonjs-mocha-chai-expect,3,1
playwright-commonjs-mocha-chai-should,6,1
playwright-es-modules-babel-jest-assert,5,2
playwright-es-modules-babel-jest-expect,36,3
playwright-es-modules-esm-mocha-assert,6,2
playwright-es-modules-esm-mocha-chai-assert,11,1
playwright-es-modules-esm-mocha-chai-expect,47,4
playwright-es-modules-esm-mocha-chai-should,11,1
playwright-typescript-ts-jest-jest-assert,241,34
playwright-typescript-ts-jest-jest-expect,170,21
playwright-typescript-ts-node-jasmine-assert,29,6
playwright-typescript-ts-node-jasmine-expect,146,7
protractor-commonjs-jasmine-expect,4,1
protractor-es-modules-esm-jasmine-expect,11,3
protractor-typescript-ts-node-jasmine-expect,6,1
protractor-typescript-tsc-jasmine-expect,18,5
puppeteer-commonjs-cucumber-assert,1,1
puppeteer-commonjs-cucumber-chai-expect,1,1
puppeteer-commonjs-jasmine-expect,6,1
puppeteer-commonjs-jest-assert,3,1
puppeteer-commonjs-jest-expect,16,3
puppeteer-commonjs-mocha-chai-should,2,1
puppeteer-es-modules-babel-ava,1,1
puppeteer-es-modules-babel-jest-expect,5,1
puppeteer-typescript-ts-jest-jest-expect,10,3
puppeteer-typescript-ts-node-jasmine-expect,16,2
selenium-webdriver-commonjs-cucumber-chai-should,4,1
selenium-webdriver-es-modules-babel-jest-expect,2,1
selenium-webdriver-es-modules-esm-mocha-chai,4,1
selenium-webdriver-typescript-ts-jest-jest-expect,6,2
selenium-webdriver-typescript-ts-node-jasmine-expect,5,1
stats,415,1
swagger,4,1
testcafe-commonjs-chai-expect,4,1
testcafe-es-modules,15,1
testcafe-typescript,14,2
testcafe-typescript-assert,1,1
testcafe-typescript-chai-should,5,1
utils,97,13
wd-commonjs-webdriver-manager-jest-assert,4,1
wd-commonjs-webdriver-manager-mocha-chai-assert,4,1
wd-commonjs-webdriver-manager-mocha-chai-should,1,1
wd-typescript-ts-jest-webdriver-manager-jest-assert,5,1
wd-typescript-ts-node-webdriver-manager-ava,12,1
wd-typescript-ts-node-webdriver-manager-jasmine-expect,8,2
webdriverio-commonjs-jasmine-expect,2,1
webdriverio-commonjs-mocha-chai-assert,9,2
webdriverio-commonjs-mocha-chai-expect,2,1
webdriverio-es-modules-babel-mocha-chai-assert,1,1
webdriverio-es-modules-babel-mocha-chai-expect,1,1
webdriverio-es-modules-babel-mocha-chai-should,3,2
webdriverio-typescript-ts-node-mocha-chai-assert,15,2
webdriverio-typescript-ts-node-mocha-chai-expect,4,3
